date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:52:02	287270/287270	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Mar%202024%2022:52:02%20GMT	https://www.crazygames.com/game/capybara-clicker-2	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/www.crazygames.com/game/capybara-clicker-2.html	(from )
17:52:02	112/112	---MC-	200	added ('OK')	text/html	date:Mon,%2025%20Mar%202024%2021:35:42%20GMT	https://www.crazygames.com/robots.txt		(from )
17:52:02	2069/2069	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Feb%202024%2010:42:06%20GMT	https://images.crazygames.com/favicons/manifest-icon-3.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=120&h=120&fit=crop&crop=entropy	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/images.crazygames.com/favicons/manifest-icon-3edfb.jpg	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:03	2759/2759	---M--	200	added ('OK')	image/jpeg	date:Tue,%2013%20Feb%202024%2013:07:05%20GMT	https://images.crazygames.com/favicons/manifest-icon-3.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=152&h=152&fit=crop&crop=entropy	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/images.crazygames.com/favicons/manifest-icon-32709.jpg	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:03	2898/2898	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Feb%202024%2012:28:07%20GMT	https://images.crazygames.com/favicons/manifest-icon-3.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=167&h=167&fit=crop&crop=entropy	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/images.crazygames.com/favicons/manifest-icon-3fab2.jpg	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:03	3186/3186	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Mar%202024%2011:59:22%20GMT	https://images.crazygames.com/favicons/manifest-icon-3.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=180&h=180&fit=crop&crop=entropy	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/images.crazygames.com/favicons/manifest-icon-3b86c.jpg	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:03	1160/1160	---MCZ	200	added ('OK')	application/json	etag:W/%22488-z9kTe50jp8qOyDljaSK3FfiVMFg%22	https://www.crazygames.com/game/capybara-clicker-2/manifest	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/www.crazygames.com/game/capybara-clicker-2/manifest.json	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:04	105968/105968	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20Mar%202024%2014:11:19%20GMT	https://images.crazygames.com/games/capybara-clicker-2/cover_16x9-1698042124693.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/images.crazygames.com/games/capybara-clicker-2/cover_16x9-1698042124693faad.jpg	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:04	698/698	---MCZ	200	added ('OK')	application/javascript	etag:%2265fd5ef5-1e1%22	https://cdn.iubenda.com/cs/iubenda_cs.js	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/cdn.iubenda.com/cs/iubenda_cs.js	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:04	5956/5956	---M--	200	added ('OK')	image/jpeg	etag:W/%221744-18e756681e0%22	https://www.crazygames.com/images/background2.jpg	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/www.crazygames.com/images/background2.jpg	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:05	91460/91460	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a30f535065c606d76ce69721a09b0267%22	https://builds.crazygames.com/portal/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/builds.crazygames.com/portal/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:05	9343/9343	---MCZ	200	added ('OK')	text/javascript	etag:W/%22b5ebe2d1b37a222faac69aa1ab48a764%22	https://builds.crazygames.com/portal/_next/static/chunks/44325.10d90aa61b2abd7e.js	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/builds.crazygames.com/portal/_next/static/chunks/44325.10d90aa61b2abd7e.js	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:05	22128/22128	---MCZ	200	added ('OK')	text/javascript	etag:W/%22517064d88ce683d79832df1ee1342b5c%22	https://builds.crazygames.com/portal/_next/static/chunks/77782-2b16da77a045560c.js	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/builds.crazygames.com/portal/_next/static/chunks/77782-2b16da77a045560c.js	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:05	8320/8320	---MCZ	200	added ('OK')	text/javascript	etag:W/%226fb2d2d21834e97bcd82d05cfe11b108%22	https://builds.crazygames.com/portal/_next/static/chunks/10984-9693dc1adafac78c.js	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/builds.crazygames.com/portal/_next/static/chunks/10984-9693dc1adafac78c.js	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:06	10068/10068	---MCZ	200	added ('OK')	text/javascript	etag:W/%22505b142e14910556a429413018b903d7%22	https://builds.crazygames.com/portal/_next/static/chunks/84332.4332afc5ecdc1163.js	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/builds.crazygames.com/portal/_next/static/chunks/84332.4332afc5ecdc1163.js	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:06	18751/18751	---MCZ	200	added ('OK')	text/javascript	etag:W/%229936e47d7221651b4322f4821295ec55%22	https://builds.crazygames.com/portal/_next/static/chunks/2164.7735ed219feff0e6.js	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/builds.crazygames.com/portal/_next/static/chunks/2164.7735ed219feff0e6.js	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:06	16585/16585	---MCZ	200	added ('OK')	text/javascript	etag:W/%22c33288fba034b9c4742a64bfc3ad1ea5%22	https://builds.crazygames.com/portal/_next/static/chunks/47477.337616972cf9d56d.js	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/builds.crazygames.com/portal/_next/static/chunks/47477.337616972cf9d56d.js	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:06	12258/12258	---MCZ	200	added ('OK')	text/javascript	etag:W/%2237a55b0144a76c99481881ed00d72cee%22	https://builds.crazygames.com/portal/_next/static/chunks/50522-e473747e1c31ed93.js	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/builds.crazygames.com/portal/_next/static/chunks/50522-e473747e1c31ed93.js	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:07	17490/17490	---MCZ	200	added ('OK')	text/javascript	etag:W/%223ce097e320f478cda0bcdeeef45cee1e%22	https://builds.crazygames.com/portal/_next/static/chunks/9340.64b8d8b230ab38c1.js	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/builds.crazygames.com/portal/_next/static/chunks/9340.64b8d8b230ab38c1.js	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:07	22680/22680	---MCZ	200	added ('OK')	text/javascript	etag:W/%222878a375a32c04b34ab490056f9a80f6%22	https://builds.crazygames.com/portal/_next/static/chunks/40437.145f6db13669af19.js	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/builds.crazygames.com/portal/_next/static/chunks/40437.145f6db13669af19.js	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:07	23842/23842	---MCZ	200	added ('OK')	text/javascript	etag:W/%226fc28efdc13f9fdc04d3c7023f5fa416%22	https://builds.crazygames.com/portal/_next/static/chunks/36805.02a22a365d3922d0.js	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/builds.crazygames.com/portal/_next/static/chunks/36805.02a22a365d3922d0.js	(from https://www.crazygames.com/game/capybara-clicker-2)
17:52:07	20431/20431	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a5a40738f901419a5a51470f1aa8bbef%22	https://builds.crazygames.com/portal/_next/static/chunks/64243.3d13682d3faca2a9.js	C:/My%20Web%20Sites/W's%20IN%20THE%20SHATT/builds.crazygames.com/portal/_next/static/chunks/64243.3d13682d3faca2a9.js	(from https://www.crazygames.com/game/capybara-clicker-2)
